,title,level,language,crediteligibility,link
19789,AWS Cloud Development Kit - From Beginner to Professional,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/Fundamentals-of-DSLR-Photography/1111783378
20090,Cisco CCNP Route (300-101): The Complete Course,Intermediate,Chinese,Yes,https://www.skillshare.com/en/classes/Video-Editing-with-Adobe-Premiere-Pro-for-Beginners/800216478
8049,Build Windows Forms App with Visual Studio - Land a job! - 1,All Levels,English,Yes,https://www.skillshare.com/en/classes/Productivity-Masterclass-Principles-and-Tools-to-Boost-Your-Productivity/647318269
6011,Integration & Resilient Design Patterns with Spring WebFlux,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Adobe-Photoshop-CC-%E2%80%93-Essentials-Training-Course/1810443793
22176,"Excel: Core Data Analysis, and Workbook Customization",Expert,German,No,https://www.skillshare.com/en/classes/Mastering-Productivity-Create-a-Custom-System-that-Works/442860604
20257,Practice Exam - AWS Certified Advanced Networking Specialty,Beginner,English,No,https://www.skillshare.com/en/classes/iPhone-Photography-How-to-Take-Pro-Photos-On-Your-iPhone/1564055279
7542,REAL-WORLD JENKINS CI/CD PIPELINES & DEVOPS For PYTHON,All Levels,English,Yes,https://www.skillshare.com/en/classes/Graphic-Design-Basics-Core-Principles-for-Visual-Design/1539782161
25124,The Complete Adobe Premiere Pro CC Master Class Course,Intermediate,French,No,https://www.skillshare.com/en/classes/Digital-Illustration-Learn-to-Use-Procreate/971736290
10430,Develop Blockbuster Story Ideas that Sell! (Writing Mastery),Intermediate,English,No,https://www.skillshare.com/en/classes/Intro-to-Procreate-Illustrating-on-the-iPad-UPDATED-for-2023/612500335
9453,Projects in iOS ,Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Adobe-Illustrator-CC-%E2%80%93-Essentials-Training/1986526776
1598,Data Structures and Algorithms In C# ( DSA ),All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Logo-Design-with-Draplin-Secrets-of-Shape-Type-and-Color/1389209398
10606,Mobile Cybersecurity Awareness,Expert,French,Yes,https://www.skillshare.com/en/classes/Procreate-for-Beginners-Learn-the-Basics-Sell-Your-Artwork/1501439636
18769,Authoring Elegant and Meaningful Agile User Stories,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Real-Productivity-How-to-Build-Habits-That-Last/1744818959
1668,Learning Oracle Application Express ( Oracle Apex ) Training,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Customizing-Type-with-Draplin-Creating-Wordmarks-That-Work/1395825904
22138,Developing SAP UI5 apps using Fiori Elements (WebIDE & SBAS),Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/Intro-to-Surface-Pattern-Design-Learn-Adobe-Illustrator/1614197409
17476,Buy Bitcoin The Right Way,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Learn-Adobe-After-Effects-CC-for-Beginners/53825608
25375,"CBT for Depression, Anxiety, Phobias and Panic Attacks",Expert,Chinese,Yes,https://www.skillshare.com/en/classes/YouTube-Success-Script-Shoot-Edit-with-MKBHD/731552530
2084,How to Create iOS 2D Games with SpriteKit and Swift,Intermediate,English,No,https://www.skillshare.com/en/classes/Social-Media-Marketing-Top-Tips-for-Growing-Your-Followers-Going-Viral/2147147253
