title,link,institution,subject,level,prerequisites,language,videotranscript,associatedprograms,associatedskills
How to Learn Online,https://www.edx.org/learn/how-to-learn/edx-how-to-learn-online,edX,Education & Teacher Training,Introductory,None,English,English,None,Learning Design
The Science of Happiness,https://www.edx.org/learn/happiness/university-of-california-berkeley-the-science-of-happiness,"University of California, Berkeley",Social Sciences,Introductory,None.,English,English,None,"Evolutionary Biology, Empathy, Psychology"
Remote Work Revolutionfor Everyone,https://www.edx.org/learn/remote-work/harvard-university-remote-work-revolution-for-everyone,Harvard University,Business & Management,Introductory,None,English,None,Professional Certificate inLeading in a Remote Environment,"Customer Relationship Building, Telecommuting"
CS50's Introduction toComputer Science,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science,Harvard University,Computer Science,Introductory,None.,English,English,Professional Certificate inComputer Science for Game DevelopmentProfessional Certificate inComputer Science for Web ProgrammingProfessional Certificate inComputer Science for Artificial IntelligenceProfessional Certificate inComputer Science for Python ProgrammingXSeries inCS50's AP® Computer Science Principles,"Resource Management, JavaScript (Programming Language), Forensic Sciences, Cryptography, SQL (Programming Language), Finance, Algorithms, Computer Science, HyperText Markup Language (HTML), Data Structures, Python (Programming Language), C (Programming Language), Security Software, Cascading Style Sheets (CSS)"
Data Visualization andBuilding Dashboards withExcel and Cognos,https://www.edx.org/learn/data-visualization/ibm-data-visualization-and-building-dashboards-with-excel-and-cognos,IBM,Data Analysis & Statistics,Introductory,None,English,None,Professional CertificateinData Analysis and Visualization FundamentalsProfessional CertificateinData AnalystProfessional CertificateinData Analytics and Visualization with Excel and R,"Data Visualization, Data Analysis, IBM Cognos Business Intelligence, Spreadsheets, Microsoft Excel"
"Six Sigma Part 2: Analyze,Improve, Control",https://www.edx.org/learn/six-sigma/technische-universitat-munchen-six-sigma-analyze-improve-control,Technische Universität München,Business & Management,Introductory,"This course reviews basic statistics used in Six Sigma and quality management, applying them to quality problems and methods. Therefore, basic math skills are necessary.",English,English,Professional Certificate inLean Six Sigma Yellow Belt: Quantitative Tools for Quality and ProductivityProfessional Certificate inLean Six Sigma Green Belt Certification: Sustainability ProjectProfessional Certificate inLean Six Sigma Green Belt Certification: Business Project,"Lean Manufacturing, Eight Disciplines Problem Solving (8D), Design For Six Sigma, Six Sigma Yellow Belt, Six Sigma Methodology, Lean Six Sigma, Quality Improvement, Statistics, Six Sigma Green Belt Certification, Statistical Process Controls, Lean Six Sigma Green Belt, Confidence Intervals, Quality Management, Control Chart"
CS50's Introduction toProgramming with Python,https://www.edx.org/learn/python/harvard-university-cs50-s-introduction-to-programming-with-python,Harvard University,Computer Science,Introductory,None,English,English,Professional Certificate inComputer Science for Python ProgrammingProfessional Certificate inLearning Python for Data Science,"Computer Science, JavaScript (Programming Language), Data Science, Personal Computers, SQL (Programming Language), Unit Testing, Boolean Expression, Debugging, Python (Programming Language), C (Programming Language), Web Browsers, Regular Expressions, Web Development"
Analyzing Data with Excel,https://www.edx.org/learn/excel/ibm-analyzing-data-with-excel,IBM,Data Analysis & Statistics,Introductory,None,English,None,Professional CertificateinData Analysis and Visualization FundamentalsProfessional CertificateinData AnalystProfessional CertificateinData Analytics and Visualization with Excel and R,"Spreadsheets, Data Cleansing, Microsoft Excel, Pivot Tables And Charts, Data Wrangling, Google Sheets, Data Science, Web Browsers, Data Analysis, Business Marketing"
The Science of Generosity:Do Good…Feel Good,https://www.edx.org/learn/humanities/university-of-pennsylvania-the-science-of-generosity-do-good-feel-good,University of Pennsylvania,Philanthropy,Introductory,There are no prerequisites for this course.,English,English,None,None
EntrepreneurialOperations: Launching aStartup,https://www.edx.org/learn/entrepreneurship/babson-college-entrepreneurial-operations-launching-a-startup,Babson College,Business & Management,Intermediate,None,English,English,Professional Certificate inEntrepreneurial Mindset and Leadership,Operations
