Unnamed: 0,title,level,language,crediteligibility
0.0,The Complete Python Bootcamp From Zero to Hero in Python,Expert,German,No
1.0,The Complete 2023 Web Development Bootcamp,All Levels,Chinese,No
2.0,The Web Developer Bootcamp 2023,All Levels,French,No
3.0,100 Days of Code: The Complete Python Pro Bootcamp for 2023,Intermediate,Chinese,No
4.0,React - The Complete Guide 2023 (incl. React Router & Redux),Expert,Chinese,Yes
5.0,Angular - The Complete Guide (2023 Edition),All Levels,Spanish,No
6.0,The Complete JavaScript Course 2024: From Zero to Expert!,All Levels,French,No
7.0,Java 17 Masterclass: Start Coding in 2023,All Levels,French,No
8.0,"Machine Learning A-Z™: AI, Python & R + ChatGPT Bonus [2023]",Intermediate,French,No
9.0,Python for Data Science and Machine Learning Bootcamp,All Levels,Chinese,No
10.0,The Data Science Course: Complete Data Science Bootcamp 2023,Expert,German,Yes
11.0,Automate the Boring Stuff with Python Programming,All Levels,French,No
12.0,Selenium WebDriver with Java -Basics to Advanced+Frameworks,Expert,Chinese,Yes
13.0,Complete C# Unity Game Developer 2D,All Levels,Spanish,Yes
14.0,Build Responsive Real-World Websites with HTML and CSS,Intermediate,German,Yes
15.0,Learn Python Programming Masterclass,Intermediate,Spanish,Yes
16.0,iOS & Swift - The Complete iOS App Development Bootcamp,Expert,German,Yes
17.0,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Beginner,Chinese,Yes
18.0,Modern React with Redux [2023 Update],All Levels,English,No
19.0,"[NEW] Spring Boot 3, Spring 6 & Hibernate for Beginners",Expert,German,Yes
20.0,The Complete Web Developer Course 3.0,Intermediate,Spanish,No
21.0,The Complete Node.js Developer Course (3rd Edition),All Levels,Chinese,Yes
22.0,Flutter & Dart - The Complete Guide [2023 Edition],All Levels,German,Yes
23.0,Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,Expert,English,Yes
24.0,C# Basics for Beginners: Learn C# Fundamentals by Coding,Beginner,English,No
25.0,Beginning C++ Programming - From Beginner to Beyond,All Levels,French,Yes
26.0,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",Expert,French,Yes
27.0,The Complete Web Developer in 2023: Zero to Mastery,Expert,Spanish,No
28.0,Vue - The Complete Guide (incl. Router & Composition API),All Levels,German,Yes
29.0,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,Intermediate,German,Yes
30.0,Docker and Kubernetes: The Complete Guide,All Levels,French,Yes
31.0,Complete Python Developer in 2023: Zero to Mastery,Expert,German,No
32.0,R Programming A-Z™: R For Data Science With Real Exercises!,All Levels,German,Yes
33.0,The Complete Flutter Development Bootcamp with Dart,Intermediate,English,Yes
34.0,The Python Bible™ | Everything You Need to Program in Python,Beginner,French,No
35.0,Python and Django Full Stack Web Developer Bootcamp,All Levels,Chinese,No
36.0,SQL for Beginners: Learn SQL using MySQL and Database Design,Beginner,French,Yes
37.0,Master Microservices with Spring Boot and Spring Cloud,Intermediate,Chinese,Yes
38.0,JavaScript: Understanding the Weird Parts,Expert,English,Yes
39.0,Understanding TypeScript,Intermediate,Spanish,Yes
40.0,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",Intermediate,German,No
41.0,"Deep Learning A-Z™ 2023: Neural Networks, AI & ChatGPT Bonus",Expert,English,No
42.0,The Complete React Native + Hooks Course,Expert,German,No
43.0,Mastering Data Structures & Algorithms using C and C++,Intermediate,Spanish,Yes
