Unnamed: 0,title,level,language,crediteligibility,processed_title,unique_title,level_encoded,language_encoded,credit_eligibility_encoded
0.0,The Complete Python Bootcamp From Zero to Hero in Python,Expert,German,No,the complete python bootcamp from zero to hero in python,0,2,3,0
1.0,The Complete 2023 Web Development Bootcamp,All Levels,Chinese,No,the complete 2023 web development bootcamp,1,0,0,0
2.0,The Web Developer Bootcamp 2023,All Levels,French,No,the web developer bootcamp 2023,1,0,2,0
3.0,100 Days of Code: The Complete Python Pro Bootcamp for 2023,Intermediate,Chinese,No,100 days of code: the complete python pro bootcamp for 2023,3,3,0,0
4.0,React - The Complete Guide 2023 (incl. React Router & Redux),Expert,Chinese,Yes,react - the complete guide 2023 (incl. react router & redux),4,2,0,1
5.0,Angular - The Complete Guide (2023 Edition),All Levels,Spanish,No,angular - the complete guide (2023 edition),5,0,4,0
6.0,The Complete JavaScript Course 2024: From Zero to Expert!,All Levels,French,No,the complete javascript course 2024: from zero to expert!,6,0,2,0
7.0,Java 17 Masterclass: Start Coding in 2023,All Levels,French,No,java 17 masterclass: start coding in 2023,7,0,2,0
8.0,"Machine Learning A-Z™: AI, Python & R + ChatGPT Bonus [2023]",Intermediate,French,No,"machine learning a-z™: ai, python & r + chatgpt bonus [2023]",8,3,2,0
9.0,Python for Data Science and Machine Learning Bootcamp,All Levels,Chinese,No,python for data science and machine learning bootcamp,9,0,0,0
10.0,The Data Science Course: Complete Data Science Bootcamp 2023,Expert,German,Yes,the data science course: complete data science bootcamp 2023,9,2,3,1
11.0,Automate the Boring Stuff with Python Programming,All Levels,French,No,automate the boring stuff with python programming,11,0,2,0
12.0,Selenium WebDriver with Java -Basics to Advanced+Frameworks,Expert,Chinese,Yes,selenium webdriver with java -basics to advanced+frameworks,12,2,0,1
13.0,Complete C# Unity Game Developer 2D,All Levels,Spanish,Yes,complete c# unity game developer 2d,13,0,4,1
14.0,Build Responsive Real-World Websites with HTML and CSS,Intermediate,German,Yes,build responsive real-world websites with html and css,14,3,3,1
15.0,Learn Python Programming Masterclass,Intermediate,Spanish,Yes,learn python programming masterclass,15,3,4,1
16.0,iOS & Swift - The Complete iOS App Development Bootcamp,Expert,German,Yes,ios & swift - the complete ios app development bootcamp,16,2,3,1
17.0,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Beginner,Chinese,Yes,the ultimate mysql bootcamp: go from sql beginner to expert,17,1,0,1
18.0,Modern React with Redux [2023 Update],All Levels,English,No,modern react with redux [2023 update],18,0,1,0
19.0,"[NEW] Spring Boot 3, Spring 6 & Hibernate for Beginners",Expert,German,Yes,"[new] spring boot 3, spring 6 & hibernate for beginners",19,2,3,1
20.0,The Complete Web Developer Course 3.0,Intermediate,Spanish,No,the complete web developer course 3.0,20,3,4,0
21.0,The Complete Node.js Developer Course (3rd Edition),All Levels,Chinese,Yes,the complete node.js developer course (3rd edition),21,0,0,1
22.0,Flutter & Dart - The Complete Guide [2023 Edition],All Levels,German,Yes,flutter & dart - the complete guide [2023 edition],5,0,3,1
23.0,Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,Expert,English,Yes,unreal engine 5 c++ developer: learn c++ & make video games,23,2,1,1
24.0,C# Basics for Beginners: Learn C# Fundamentals by Coding,Beginner,English,No,c# basics for beginners: learn c# fundamentals by coding,24,1,1,0
25.0,Beginning C++ Programming - From Beginner to Beyond,All Levels,French,Yes,beginning c++ programming - from beginner to beyond,25,0,2,1
26.0,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",Expert,French,Yes,"python mega course: learn python in 60 days, build 20 apps",26,2,2,1
27.0,The Complete Web Developer in 2023: Zero to Mastery,Expert,Spanish,No,the complete web developer in 2023: zero to mastery,20,2,4,0
28.0,Vue - The Complete Guide (incl. Router & Composition API),All Levels,German,Yes,vue - the complete guide (incl. router & composition api),4,0,3,1
29.0,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,Intermediate,German,Yes,docker mastery: with kubernetes +swarm from a docker captain,29,3,3,1
30.0,Docker and Kubernetes: The Complete Guide,All Levels,French,Yes,docker and kubernetes: the complete guide,29,0,2,1
31.0,Complete Python Developer in 2023: Zero to Mastery,Expert,German,No,complete python developer in 2023: zero to mastery,31,2,3,0
32.0,R Programming A-Z™: R For Data Science With Real Exercises!,All Levels,German,Yes,r programming a-z™: r for data science with real exercises!,32,0,3,1
33.0,The Complete Flutter Development Bootcamp with Dart,Intermediate,English,Yes,the complete flutter development bootcamp with dart,33,3,1,1
34.0,The Python Bible™ | Everything You Need to Program in Python,Beginner,French,No,the python bible™ | everything you need to program in python,34,1,2,0
35.0,Python and Django Full Stack Web Developer Bootcamp,All Levels,Chinese,No,python and django full stack web developer bootcamp,35,0,0,0
36.0,SQL for Beginners: Learn SQL using MySQL and Database Design,Beginner,French,Yes,sql for beginners: learn sql using mysql and database design,36,1,2,1
37.0,Master Microservices with Spring Boot and Spring Cloud,Intermediate,Chinese,Yes,master microservices with spring boot and spring cloud,19,3,0,1
38.0,JavaScript: Understanding the Weird Parts,Expert,English,Yes,javascript: understanding the weird parts,38,2,1,1
39.0,Understanding TypeScript,Intermediate,Spanish,Yes,understanding typescript,39,3,4,1
40.0,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",Intermediate,German,No,"nodejs - the complete guide (mvc, rest apis, graphql, deno)",40,3,3,0
41.0,"Deep Learning A-Z™ 2023: Neural Networks, AI & ChatGPT Bonus",Expert,English,No,"deep learning a-z™ 2023: neural networks, ai & chatgpt bonus",8,2,1,0
42.0,The Complete React Native + Hooks Course,Expert,German,No,the complete react native + hooks course,42,2,3,0
43.0,Mastering Data Structures & Algorithms using C and C++,Intermediate,Spanish,Yes,mastering data structures & algorithms using c and c++,43,3,4,1
44.0,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Intermediate,Spanish,No,"advanced css and sass: flexbox, grid, animations and more!",44,3,4,0
45.0,Apache Kafka Series - Learn Apache Kafka for Beginners v3,Expert,English,No,apache kafka series - learn apache kafka for beginners v3,45,2,1,0
46.0,Complete C# Unity Game Developer 3D,Intermediate,Spanish,Yes,complete c# unity game developer 3d,13,3,4,1
47.0,Statistics for Data Science and Business Analysis,Expert,Chinese,Yes,statistics for data science and business analysis,47,2,0,1
48.0,Python for Beginners: Learn Python Programming (Python 3),Expert,Spanish,Yes,python for beginners: learn python programming (python 3),0,2,4,1
49.0,Java Programming for Complete Beginners,Beginner,German,Yes,java programming for complete beginners,49,1,3,1
50.0,React Native - The Practical Guide [2023],Expert,German,Yes,react native - the practical guide [2023],50,2,3,1
51.0,HTML and CSS for Beginners - Build a Website & Launch ONLINE,Expert,German,Yes,html and css for beginners - build a website & launch online,51,2,3,1
52.0,Go: The Complete Developer's Guide (Golang),Intermediate,German,No,go: the complete developer's guide (golang),52,3,3,0
53.0,"C# Intermediate: Classes, Interfaces and OOP",Intermediate,Chinese,Yes,"c# intermediate: classes, interfaces and oop",53,3,0,1
54.0,"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",Beginner,French,Yes,"devops , ci/cd(continuous integration/delivery for beginners",54,1,2,1
55.0,Rest API Testing (Automation) from Scratch-Rest Assured Java,Intermediate,English,No,rest api testing (automation) from scratch-rest assured java,55,3,1,0
56.0,Master the Coding Interview: Data Structures + Algorithms,Expert,German,No,master the coding interview: data structures + algorithms,43,2,3,0
57.0,Data Science A-Z™: Hands-On Exercises & ChatGPT Bonus [2023],Expert,Spanish,No,data science a-z™: hands-on exercises & chatgpt bonus [2023],8,2,4,0
58.0,The Complete ASP.NET MVC 5 Course,Intermediate,German,No,the complete asp.net mvc 5 course,58,3,3,0
59.0,Artificial Intelligence A-Z 2023: Build 5 AI (incl. ChatGPT),Expert,Spanish,No,artificial intelligence a-z 2023: build 5 ai (incl. chatgpt),59,2,4,0
60.0,Learn JIRA with real-world examples (+Confluence bonus),Expert,Spanish,Yes,learn jira with real-world examples (+confluence bonus),60,2,4,1
61.0,C Programming For Beginners - Master the C Language,All Levels,German,Yes,c programming for beginners - master the c language,61,0,3,1
62.0,Modern JavaScript From The Beginning 2.0 - 2023 Revamp,Expert,Chinese,No,modern javascript from the beginning 2.0 - 2023 revamp,62,2,0,0
63.0,Python for Absolute Beginners,Beginner,Spanish,No,python for absolute beginners,63,1,4,0
64.0,JavaScript Basics for Beginners,Beginner,Spanish,No,javascript basics for beginners,64,1,4,0
65.0,Certified Tester ISTQB® Foundation Level (CTFL) Updated 2022,All Levels,German,No,certified tester istqb® foundation level (ctfl) updated 2022,65,0,3,0
66.0,Relational Database Design,Expert,Spanish,Yes,relational database design,66,2,4,1
