title,link,duration,instructor,students
Fundamentals of DSLR Photography,https://www.skillshare.com/en/classes/Fundamentals-of-DSLR-Photography/1111783378,1h 19m,Photo Essentials x Justin Bridges,"133,422 students"
Video Editing with Adobe Premiere Pro for Beginners,https://www.skillshare.com/en/classes/Video-Editing-with-Adobe-Premiere-Pro-for-Beginners/800216478,3h 21m,Jordy Vandeput,"126,674 students"
Productivity Masterclass - Principles and Tools to Boost Your Productivity,https://www.skillshare.com/en/classes/Productivity-Masterclass-Principles-and-Tools-to-Boost-Your-Productivity/647318269,1h 55m,Ali Abdaal,"109,681 students"
Adobe Photoshop CC – Essentials Training Course,https://www.skillshare.com/en/classes/Adobe-Photoshop-CC-%E2%80%93-Essentials-Training-Course/1810443793,9h 56m,Daniel Scott,"98,746 students"
Mastering Productivity: Create a Custom System that Works,https://www.skillshare.com/en/classes/Mastering-Productivity-Create-a-Custom-System-that-Works/442860604,1h 5m,Thomas Frank,"149,648 students"
iPhone Photography: How to Take Pro Photos On Your iPhone,https://www.skillshare.com/en/classes/iPhone-Photography-How-to-Take-Pro-Photos-On-Your-iPhone/1564055279,55m,Dale McManus,"180,627 students"
Graphic Design Basics: Core Principles for Visual Design,https://www.skillshare.com/en/classes/Graphic-Design-Basics-Core-Principles-for-Visual-Design/1539782161,36m,Ellen Lupton,"178,753 students"
Digital Illustration: Learn to Use Procreate,https://www.skillshare.com/en/classes/Digital-Illustration-Learn-to-Use-Procreate/971736290,1h 6m,Jarom Vogel,"185,306 students"
Intro to Procreate: Illustrating on the iPad (UPDATED for 2023),https://www.skillshare.com/en/classes/Intro-to-Procreate-Illustrating-on-the-iPad-UPDATED-for-2023/612500335,1h 58m,Brooke Glaser,"131,429 students"
Adobe Illustrator CC – Essentials Training,https://www.skillshare.com/en/classes/Adobe-Illustrator-CC-%E2%80%93-Essentials-Training/1986526776,11h 33m,Daniel Scott,"109,833 students"
"Logo Design with Draplin: Secrets of Shape, Type and Color",https://www.skillshare.com/en/classes/Logo-Design-with-Draplin-Secrets-of-Shape-Type-and-Color/1389209398,1h 7m,Aaron Draplin,"113,931 students"
Procreate for Beginners: Learn the Basics & Sell Your Artwork,https://www.skillshare.com/en/classes/Procreate-for-Beginners-Learn-the-Basics-Sell-Your-Artwork/1501439636,1h 50m,Cat Coquillette,"59,481 students"
